MSFT  KO MO LMT MMM MRK MCD MDT LOW MS MET MON  KFT MA
-0.023687 0.019235 0.016187 -0.011524 0.037723 0.005242 0.03169 0.027761 -0.006101 -0.035506 0.00973 0.006195 0 0
-0.043249 0.001945 0.017699 -0.001036 -0.006656 0.012034 -0.011945 0.002979 0.009045 -0.048462 0.008082 -0.01847 0 0
-0.083793 -0.027184 -0.041546 0.011151 -0.039601 -0.020346 -0.030743 -0.054653 -0.045302 -0.085864 -0.04872 -0.014337 0 0
0.043321 -0.023353 0.008669 -0.016671 -0.036673 -0.016453 -0.009266 -0.018014 -0.000503 0.053571 0.026904 -0.001515 0 0
-0.00346 -0.022154 -0.029495 -0.018258 -0.001764 -0.013712 -0.008993 -0.041596 -0.01493 -0.033898 -0.092487 -0.010622 0 0
-0.005787 -0.000419 -0.016237 -0.003719 0.016091 0.029473 -0.011252 0.068774 0.033719 0.035263 0.008696 0.035276 0 0
0.016298 0.020986 0.018832 -0.013333 -0.029568 -0.035111 -0.027166 -0.031653 -0.011203 -0.018471 -0.02069 -0.002074 0 0
-0.004582 -0.005139 -0.020768 -0.021622 0.018583 0.008677 -0.004528 0.004731 0.020493 0.048515 -0.021831 -0.018705 0 0
-0.029919 -0.020041 -0.047508 -0.033978 -0.025375 -0.025253 -0.023124 0.012414 0.018286 -0.069653 -0.020878 0 0 0
-0.049822 -0.045962 -0.013583 -0.014584 -0.015298 -0.032598 -0.004657 -0.028541 -0.005131 -0.03292 0.017647 0.004236 0 0
0.078652 0.010387 -0.031603 -0.013349 -0.017562 0.02575 -0.021053 -0.059412 -0.071233 -0.025439 -0.058887 -0.005423 0 0
0.047454 -0.004812 0.011655 0.026471 -0.000589 -0.010472 -0.004381 0.023832 -0.030019 0.004883 0.055662 0.000303 0 0
-0.00884 -0.013187 0.042627 0.03467 0.022408 0.036242 0.012 -0.005424 0.017889 0.018501 0.007273 0.029679 0 0
0.039019 0.038085 0.043757 0.008308 0.013265 0.029799 0.001186 0.032493 0.029877 0.038532 0.005776 -0.022059 0 0
-0.046137 -0.01416 -0.017362 -0.036803 -0.005502 0.020921 -0.001974 0.024428 -0.018942 -0.045936 0.00682 -0.004511 0 0
-0.003375 -0.031121 0.00905 0.026233 -0.019365 -0.012641 0.047864 0.004726 0.020177 -0.005926 0.013191 0.022659 0 0
-0.012415 0.014376 0.013239 -0.009447 0.0107 0.022911 0.002265 -0.022023 -0.00341 -0.003353 0.057354 0.047563 0 0
0.020571 0.015279 -0.026554 0.008415 -0.017806 -0.021739 0.00339 -0.034325 -0.01728 -0.021495 0.008319 0.005358 0 0
-0.043673 -0.025954 -0.036372 -0.001391 -0.02097 -0.019394 -0.031907 -0.051845 -0.005919 -0.057498 -0.030693 -0.017672 0 0
