COP CVX CVS CAT CL CPB C CSCO COF COST CMCSA
0.010189 0.017829 0.00054 0.012108 -0.014201 0.023141 0.017582 0.043887 -0.008091 0.02862 0.017831
0.004323 0.017629 -0.018162 -0.028135 0.003929 -0.013893 -0.043197 -0.084084 -0.041528 0.03437 -0.026277
-0.013451 -0.010482 0.007326 -0.038523 -0.043049 -0.024902 -0.046275 0.013115 -0.048356 -0.028481 -0.013493
-0.030358 -0.024309 -0.025455 -0.019203 -0.006816 0.000336 -0.039053 0.022654 -0.027642 -0.029316 -0.033435
0.019873 -0.009143 0.026679 0.009669 0.009804 -0.00571 0.055419 -0.053797 0.06689 -0.005034 -0.042453
-0.008824 -0.002999 0.00109 0.02801 0.031068 -0.003716 0.031505 -0.043478 0.003331 0.021922 0.049261
0.00408 0.016081 0.024142 0.043316 0.039736 -0.010173 0.050905 0.013986 0.063855 0.00165 0.028169
-0.010159 -0.014004 -0.003013 0.015625 0.003623 0.005139 -0.029064 -0.131034 0.008627 -0.00659 -0.001522
-0.003732 -0.002079 0.003556 -0.019341 -0.021837 0.005453 -0.008869 -0.031746 -0.035487 0.006633 0.004573
0.031092 0.015969 0.036138 -0.005379 0.019557 0.012542 0.006264 0.036885 0.04717 0.034596 0
-0.028701 -0.010592 -0.004616 0.001352 -0.007419 -0.016404 0.016007 -0.047431 0.011712 -0.078025 -0.010622
-0.008977 -0.010015 -0.011852 -0.051305 -0.026436 -0.008169 -0.043764 -0.087137 -0.040962 -0.058722 -0.038344
0.018494 0.019767 0.00817 0.03297 0.012172 0.029684 -0.022883 -0.004545 -0.027855 0.027523 -0.007974
0.028164 0.022577 -0.036207 0.051206 0.026827 -0.007388 0.053864 0.091324 0.051767 0.028571 0.030547
-0.007569 -0.005129 0.001789 -0.026868 -0.031532 -0.015223 -0.05 -0.087866 -0.023247 -0.012153 0.00312
0.021609 0.025555 -0.031429 0.009652 -0.030698 0.014428 0.001871 0.063486 0.022685 -0.021722 -0.016112
0.02364 0.014208 0.050516 0.016007 -0.010557 0.003386 0.060005 0.094548 0.058182 0.027019 -0.001012
-0.019448 -0.021552 -0.045104 -0.012254 -0.005626 -0.0135 0.020705 0.0971 0.033162 0.015113 0.017975
0.002302 0.011013 0.029223 0.041427 0.037846 0.010948 0.020716 0.033333 -0.00632 0.001103 0.010943
0.026325 0.021786 -0.011964 -0.005531 0.00282 0.003384 -0.0074 -0.043381 -0.011715 -0.036904 0.002214
-0.000172 -0.005864 0.021146 -0.02139 -0.008997 0.018887 0.02066 -0.031395 -0.011177 0.037461 0.024546
-0.004821 0.002252 0.00531 0.059016 -0.021184 0.001324 0.044449 0.076231 0.130331 0.057332 0.007187
-0.007785 -0.007597 0.007923 -0.008875 0.015845 -0.004959 0.004995 0.054657 -0.033788 -0.035975 0.015461
-0.001395 0.005391 -0.004236 0.004195 0.013886 -0.013621 -0.017495 0.012692 -0.013643 -0.011628 -0.010307
0.02462 0.015657 -0.014925 0.007728 -0.004878 -0.008084 -0.018818 -0.095039 -0.008585 -0.008481 -0.013018
0.008862 -0.004329 -0.010695 0.001036 -0.009097 0.003735 0.004331 -0.061743 -0.015394 -0.054084 -0.004796
0.01098 0.010817 0.016396 0.035197 0.018702 0.016576 0.01232 -0.032595 0.00912 0.020128 0.008193
0.007853 0.026647 0.025527 -0.013 0.007868 0.005657 0.00426 -0.033058 0.013073 -0.005433 0.033317
0.000333 -0.003781 0.032844 0.019453 0.034387 0.015884 0.028277 0.025641 0.019436 0.015526 -0.004256
-0.006667 -0.009539 -0.013389 -0.002186 0.003594 -0.008469 -0.034571 0.088461 -0.017659 -0.011042 0.002323
-0.005872 -0.001139 0.012553 0.011554 0.010922 0.013141 0.025432 0.048292 0.016067 0.028342 0.014971
-0.044219 -0.046138 -0.0645 -0.009453 -0.008147 -0.008106 0.003968 0.123596 0.008924 0.003341 0.0058
-0.006004 -0.003261 -0.024893 -0.005169 -0.002679 -0.00948 0.010672 -0.067 -0.015829 -0.017758 -0.009308
0.020785 0.017993 -0.011938 0.010192 0.01701 0.012871 -0.004314 0.052519 0.026648 0.013277 0.017415
0.007832 0.009106 -0.018587 0.018991 0.00669 0.008472 -0.00256 -0.019857 0.002559 -0.031503 0.007883
0.005353 -0.004246 0.02803 0.006601 0.001749 -0.001616 -0.016782 0.058701 -0.016092 0.000864 -0.024581
0.022501 0.017377 0.018976 0.002893 0.00192 -0.006472 -0.007028 -0.061335 -0.007009 0.00115 -0.017045
-0.000672 -0.002305 -0.020069 0.0275 0.010629 0.005212 0.003033 -0.015682 0.000784 0.032462 -0.02671
0.000336 -0.012499 -0.028598 -0.004305 0.002414 -0.003889 -0.006855 0.011683 0.002821 -0.012521 -0.003113
0.027222 0.004042 -0.004748 -0.007143 0.00086 -0.012687 0.017052 -0.025197 -0.011566 0.01747 0.017776
0.019467 0.010593 -0.007634 0.006058 -0.025606 -0.01318 0.008982 0.009155 0.017236 -0.015508 0.004484
0.029365 0.005241 0.018462 0.052126 0.032099 0.001669 0.02453 0.067236 0.035287 0.016878 0.013863
0.026812 0.004305 0.024358 -0.011805 -0.008031 -0.018333 -0.02124 -0.007 0.002553 0.004149 -0.000695
0.025049 0.019967 0.007926 0 -0.011197 -0.02343 0.003354 0.01712 -0.002995 -0.014325 0.016002
-0.003703 -0.004407 0.00128 0.008145 0.003484 0.011822 0.013763 0.132178 0.036052 0.034936 -0.011641
-0.006095 -0.021309 -0.003836 0.008977 -0.023958 -0.012028 0.019201 0.026672 0.044802 0.023224 -0.021709
-0.007927 -0.009362 -0.009534 -0.021352 0.009961 0.006609 -0.010276 -0.0477 -0.035526 -0.027448 -0.021955
-0.006483 0.001274 -0.002962 -0.010909 0.007221 0.008293 0.010767 0.024597 -0.021439 0.02578 -0.011586
-0.013809 -0.001273 0.024322 -0.007353 -0.007169 -0.009596 -0.013506 -0.037538 -0.011469 -0.005291 -0.005617
-0.000154 0.014547 -0.033895 0.021111 0.021134 0.010727 -0.005014 -0.072109 -0.009371 -0.021809 0.007122
