EMC DELL DD DOW EXC RTE DIS DVN
0.036215 -0.028034 -0.004627 0.008026 0.022062 0.026992 0.028807 -0.004311
0.154282 0.080455 0.02656 0.051902 -0.017125 -0.012015 0.063333 -0.027644
0.167758 0.070952 -0.009487 -0.025792 -0.019034 -0.028376 -0.000627 -0.049495
0.053492 -0.012135 -0.019591 -0.007194 -0.000298 0.006519 -0.016311 -0.004685
-0.114191 -0.025564 -0.020204 -0.009565 0.036877 0.016062 -0.042411 0.048697
-0.027534 -0.11925 0.015182 -0.011121 0.001872 -0.00306 -0.048285 -0.000173
-0.015701 0.044101 -0.005357 -0.021308 -0.005174 0.009719 0.078027 0.015193
-0.024843 -0.061875 0.032316 0.03417 0.007657 0.004306 0.023044 0.008503
0.050684 0.026856 0.004783 0.002339 -0.016631 0.015889 -0.018718 -0.004553
0.01072 0.009231 -0.022285 -0.024212 0.006707 0.005462 -0.021985 -0.000339
0.059091 -0.018293 0.001992 0.016442 0.004634 0.014568 0.009917 -0.022539
0.049118 0.037655 0.004417 0.037941 -0.027822 -0.020443 0.022913 -0.049064
-0.088409 -0.06734 -0.004178 0.003117 -0.0043 0.004969 -0.00928 -0.032452
0.029668 0.036502 0.01921 0.034181 0.012658 0.014833 -0.001615 0.05521
-0.033898 0.002709 -0.008882 -0.011199 0.002941 0.002192 0.002588 0.004286
0.027569 -0.041683 0.001093 0.029006 -0.010117 0.006563 -0.013875 0.015292
-0.000488 -0.009263 0.003057 0.001879 0.011109 0.002173 -0.023233 0.00683
-0.017814 -0.00813 0.022421 0.013398 0.009962 0.010602 0.041206 -0.008001
-0.007453 0.003279 -0.0132 -0.012427 0.006854 0.008941 0.006113 -0.005962
-0.025782 -0.011846 0.016956 0.005087 0.011596 0.010714 -0.010233 0.029988
0.007451 0.012402 -0.000641 -0.001598 -0.024072 0.001178 0.004847 0.030827
0.062229 0.036341 0.041497 0.05603 0.004258 0.008235 0.030868 0.013457
-0.003601 0.019701 0.020744 -0.008085 0.001462 -0.005834 0.014036 -0.008033
-0.027711 -0.042117 -0.010463 -0.016811 -0.001752 0.018779 0.002768 0.024789
0.008674 0.042356 0.009353 0.000259 0.001463 0.007143 0.051534 0.006612
-0.017199 0.00387 -0.006648 -0.016317 0.004089 0.004576 0.006418 -0.010253
-0.045 0.033539 -0.038937 -0.015798 0.000727 0.012981 -0.04029 -0.013273
0.006545 -0.005222 -0.034184 -0.031568 -0.005813 -0.009667 0.005738 -0.020177
-0.035111 0.012373 -0.003277 -0.007182 -0.020611 -0.019296 -0.01982 -0.017077
-0.083827 -0.05 0.026304 0.007791 -0.004478 0.006944 -0.000613 -0.014478
-0.089438 -0.048343 -0.021786 -0.022916 6e-04 -0.00023 -0.025751 -0.007777
0.021002 -0.002048 0.0131 0.011868 0.016182 -0.006668 -0.005035 0.013935
-0.004747 0.010263 -0.007112 -0.004468 -0.007815 -0.005093 0.003163 0.010823
0.006359 0.015847 0.009985 0.023001 -0.008768 -0.001861 -0.003153 0.012746
0.090047 0.0488 0.003654 -0.007403 -0.01889 0 -0.008539 -0.015774
-0.02029 -0.036613 -0.007709 0.000276 -0.028729 -0.014918 0.007974 -0.028303
0.027811 0.013856 0.010574 0.01657 0.000157 -0.012068 0.017405 -0.019302
-0.040012 0.003124 0.002562 -0.01467 0.017618 0.003593 -0.009331 0.000179
-0.043178 -0.016738 0.004047 -0.016818 0.031999 0.004773 -0.010675 -0.010733
-0.005327 0.033254 -0.007213 -0.004487 0.001198 -0.019002 -0.000635 0.044304
-0.045369 -0.034866 0 0.005915 -0.024686 -0.021792 -0.021912 -0.029437
-0.067657 -0.005955 -0.012179 -0.037804 -0.025617 -0.032426 -0.030519 -0.029464
-0.016991 -0.028754 -0.010167 -0.006694 0.028023 0.027117 -0.005358 0.017111
-0.006122 -0.016447 0.00896 0.000293 0.011026 -0.01868 -0.022559 -0.019537
-0.033696 -0.010452 0.018843 0.010545 0.016813 0.011421 -0.0062 -0.017528
0.017998 -0.009294 0.011692 0.010725 -0.017578 -0.006274 0.013865 -0.029108
-0.001473 0.002132 0.012818 -0.023803 -0.050796 -0.027778 0.02906 -0.049323
-0.025821 -0.00383 -0.021577 -0.029965 0.023163 0.010649 -0.030233 0.048016
0.073457 0.035882 -0.013571 -0.006057 -0.002186 -0.000257 -0.006852 -0.01126
-0.001764 0.030928 0.008383 0.020719 -0.004225 0.019023 -0.025526 0.01826
-0.003534 0.0296 0.002771 0.024627 0.005657 0.001261 -0.00354 -0.011377
0.044326 0.026418 0.002764 0.001471 -0.000156 -0.01033 0.00675 -0.012483
-0.006791 -0.01022 0.022684 -0.023208 0.002032 -0.022658 0.019407 0.036935
0.046154 0.027534 -0.002488 0.033383 -0.007954 0.029695 -0.005192 -0.030286
0.033333 0.001489 -0.019119 -0.010477 0.015249 -0.003289 -0.01357 0.001571
-0.050285 -0.026013 -0.00572 0.010882 0.012233 0.01269 -0.005644 0.012748
-0.280719 -0.022129 -0.015768 -0.014548 0.008108 0.003759 -0.017027 0.009489
0.033333 0.041748 0.006278 0.006791 0.017754 0.013483 -0.000722 -0.02935
-0.042563 -0.040824 -0.011833 -0.004399 0.000298 -0.001478 -0.021307 0.003953
-0.05007 0.014447 -0.010015 -0.00648 -0.016098 -0.008636 0.03321 -0.009646
0.059606 0.053503 0.001759 0.021939 -0.006211 -0.005724 -0.013571 0.010733
0.028359 0.021191 -0.001756 0 -0.010823 -0.005507 0.020637 0.012783
-0.043852 -0.029696 -0.013635 -0.009574 0.00601 0.000252 -0.020929 -0.035728
-0.035934 0.059734 -0.004905 -0.009373 -0.006434 -0.023151 0.025362 -0.017116
-0.114762 -0.053584 0.012548 0.034299 -0.005242 0.002061 -0.045583 -0.018439
0.016621 0.043382 -0.00177 0.032304 -0.006975 0.004884 0.005183 0.004383
-0.014169 -0.017266 0.000665 -0.008862 -0.05494 -0.035559 -0.005525 0.041355
-0.004975 -0.047687 -0.02016 -0.031573 -0.042114 -0.047745 -0.004444 0.020156
-0.002778 0.001883 -0.029618 -0.022504 -0.062069 -0.010585 -0.027158 -0.031103
0.012256 0.052612 0.006757 0.023908 0.086397 0.010698 0.012237 0.041793
0.060539 -0.004998 -0.000463 0.018737 0.01269 0.036212 0.016245 0.012597
0.038402 -0.014711 -0.024543 -0.01528 -0.032581 0.008064 0.004833 0.042871
-0.023988 0 -0.012105 0.017241 0.027979 -0.0056 -0.015908 -0.017985
0.009729 -0.019301 0.028832 0.028249 -0.050739 0.005632 -0.009398 0.013082
0.059838 0.009283 -0.018449 -0.012637 0.02 0.013333 0.012144 -0.014942
-0.021053 0.04599 0.015227 0.018642 0.007808 0.021053 -0.006374 0.005431
0.000978 -0.012663 -0.002344 -0.000273 0.010847 0.00232 0.003774 -0.033339
-0.021973 -0.008194 0.006812 -0.020492 -0.037643 -0.035742 0.008647 -0.000193
-0.022466 -0.00467 -0.005133 -0.022873 0.003363 0.006933 0.017518 -0.011563
-0.065373 -0.038614 -0.026266 -0.014559 -0.0284 -0.013771 -0.010256 -0.041919
-0.032787 0 -0.00289 0.002897 0.001634 0.020408 0.008142 0.01567
-0.024576 0.010135 0.016184 0.021086 0.0029 0.001711 0.005874 -0.002404
0.012453 0.004088 -0.00309 0.00396 -0.012968 -0.009007 -0.005839 0.00944
-0.028604 -0.016654 0.003607 -0.009862 0.002584 0.002406 -0.005874 0.009948
-0.051826 -0.040271 -0.00551 0.010245 -0.011412 -0.002933 -0.016987 0.037431
0.031056 -0.004706 -0.020959 -0.021127 0.014709 0.02942 -0.006386 -0.006836
-0.006024 -0.093775 0.005413 -0.005468 0.007523 0.011951 -0.030246 -0.005736
-0.009091 -0.012174 0 -0.003472 0.004371 0.001284 0.009747 -0.038269
-0.028135 -0.03125 0.002692 0.011034 -0.003264 -0.00641 -0.003861 -2e-04
-0.024544 0.006361 0.009763 -0.012349 0.014008 -0.001032 0.012016 -0.02
0.012903 -0.014447 -0.00556 0.010468 -0.006279 -0.000258 0.001532 0.002041
0.095541 0.059093 0.026981 0.037698 0.007763 -0.000517 0.01912 -0.003055
