ORCL PEP PG PFE OXY NKE NSC NOV NWSA NYX
-0.059702 -0.047619 0.002112 0.006863 0.003156 -0.005808 -0.003012 0.012202 0 0
0.013709 -0.011905 -0.021725 0.021665 0.024774 0.003302 0.006042 0.034402 0 0
0.06548 0.015663 -0.027179 -0.023112 0.012279 -0.002025 0.052252 0.029278 0 0
0.037408 -0.018031 0.00477 -0.02439 -0.006444 -0.034754 -0.02968 -0.009113 0 0
0.018674 0.012563 -0.003052 0.0175 -0.003815 -0.015506 0 0.015886 0 0
0.00885 0.00692 0.005952 0.004914 0.024129 -0.013614 0.005882 0.005487 0 0
0.016291 0.001659 -0.029586 0.036919 0.032162 0.006766 0.007602 0.006548 0 0
0.104809 -0.004968 0.00662 -0.035605 -0.018116 0.027957 0.01451 -0.056655 0 0
0.133929 0.009748 0.026641 -0.026895 -0.001107 0.035565 -0.005721 -0.029598 0 0
-0.028051 -0.028491 -0.016282 0.024121 0.012929 0.003535 -0.02244 0.036127 0 0
-0.131646 0.024479 0.000862 0.005888 0.047775 0.00151 -0.047675 0.038297 0 0
-0.010496 0.020819 -0.024289 -0.011707 0.012879 -0.038945 -0.011125 0.012937 0 0
0.0165 0.021321 0.016243 0.009625 0.022337 0.019085 0.005625 0.028261 0 0
-0.02029 0.018834 0.012856 0.038866 0.002017 0.021806 0.154133 0.026956 0 0
0.014793 -0.017817 0.026244 0.014588 -0.000335 0.044941 0.082391 -0.001801 0 0
-0.057726 -0.006576 0.003677 0.004174 0.010738 0.004565 -0.01791 0.019593 0 0
-0.007426 0.019174 0.068776 0.00739 -0.020584 -0.029419 -0.015704 -0.013401 0 0
0.070449 -0.007615 -0.000467 -0.009858 -0.048475 0.02415 -0.010808 -0.099949 0 0
-0.041934 -0.00158 0.001871 -0.021764 0.015675 -0.014918 -0.007829 -0.046128 0 0
0.038906 0.009946 0 0.028639 0.016135 -0.007816 0.02262 0.044776 0 0
-0.012873 0.005819 0.005913 0.007133 -0.003107 -0.002462 0.028807 -0.025429 0 0
0.010077 0.001113 -0.00232 0.005483 0.004155 0.010859 0.0405 -0.017883 0 0
0.001174 0.012225 0.026202 0.009998 0.015172 -0.022949 0.003364 0.044776 0 0
-0.039273 0.020422 -0.005288 -0.015973 0 -0.015992 0.076628 -0.012857 0 0
-0.029896 -0.006456 -0.005164 -0.016918 0.002038 -0.02514 -0.004448 -0.018813 0 0
0.008805 -0.000433 0.008397 0.007209 0.01661 0.012243 -0.016533 0.017404 0 0
-0.006858 -0.024919 -0.00106 -0.00785 0.00967 0.019043 -0.004998 0.014787 0 0
0.029504 0.005778 0.035011 0.040959 0.007596 0.060859 0.038813 0.032857 0 0
-0.017073 -0.007291 -0.016694 0.003138 0.001311 0.006903 0.033407 0.037344 0 0
0.009926 0.001113 0.004914 0.002011 0.017349 0.002364 0.015313 0.002667 0 0
0.111794 -0.001112 -0.033047 -0.002007 -0.0074 0.030189 -0.01592 -0.005319 0 0
-0.028729 -0.021144 -0.019157 -0.016086 -0.01329 0.03228 -0.030226 -0.013904 0 0
-0.042662 0.017508 0.002969 -0.011126 -0.011827 -0.030827 -0.019315 -0.020336 0 0
0.027926 0.004916 0.000935 -0.014466 -0.006649 0.001144 -0.010295 -0.026017 0 0
-0.045665 -0.003558 -0.011673 -0.024697 -0.011044 -0.006171 -0.013116 0.012504 0 0
-0.054512 0.002455 0.017953 0.028189 0.019966 -0.023459 -0.000458 -0.020488 0 0
-0.070468 0.014915 -0.004177 0.003717 -0.007631 -0.034385 -0.015589 -0.019198 0 0
0.054445 -0.018206 -0.00202 -0.007176 0.002006 0.002439 0.032604 0.007888 0 0
0.036601 0.001117 -0.011364 -0.001865 -0.012346 0.00511 -0.007217 -0.008406 0 0
0.01261 0.002455 0.001417 0.015417 0.016892 -0.003631 0.004998 0.02017 0 0
0.043587 0.015138 0.007547 -0.011962 0.017276 0.006317 0.023056 -0.018625 0 0
0.01432 -0.01875 0.009207 -0.002328 -0.017962 -0.000483 -0.017234 -0.036788 0 0
