HON IBM JNJ HNZ HAL HPQ JPM INTC HD
-0.001569 0.017812 0.00929 0.024872 0.01481 0.001459 -0.01851 -0.095 -0.007042
0.064415 0.0675 0.022667 -0.012509 0.04135 0.120947 0.049642 0.132597 0.039243
-0.02829 -0.002647 0.016989 -0.012161 -0.002044 -0.065648 -0.049647 -0.078049 -0.004095
0.002532 -0.019908 0.009404 0.003334 0.035401 -0.008696 0.000743 -0.017989 -0.036318
0.069192 0.031771 0.008658 -0.000256 0.028539 0.046667 0.071252 0.067672 0.019436
-0.017478 -0.016355 -0.012931 -0.015853 -0.033517 0.01408 0.033256 0.111021 -0.035108
0.044471 -0.012624 0.001211 -0.003118 -0.00398 0.012231 0.014081 0.021802 0.003614
-0.004603 0.005717 0.018142 0.006516 0.035959 -0.020575 0.002865 -0.064723 -0.003601
0.025433 0.030491 0.019978 0.010875 0.022865 -0.024675 -0.002857 -0.009886 0.00988
0.059752 0.068205 -0.005294 -0.033811 -0.026932 0.090598 0.082213 0.201229 0.088284
0.012766 0.074836 -0.011708 0.015376 -0.02491 0.018809 -0.00611 0.038683 0.010305
-0.007983 0.003145 -0.00797 -0.010966 0.051093 -0.024615 -0.020492 -0.001847 0.002821
-0.01673 -0.024645 -0.00228 -0.002112 0.027545 -0.023344 -0.01046 -0.065063 -0.000433
-0.022399 0.005982 0.006638 0.009788 -0.012878 -0.049742 0.002114 -0.038918 -0.02533
0.046706 0.019349 0.016106 0.004454 0.028221 -0.007478 0.001688 -0.003775 0.022212
0.035361 -0.009665 0.016489 0.013824 0.090886 -0.042808 0.021483 -0.013434 0.027814
0.01545 0.021628 -0.001779 0.00849 -0.000475 0.015742 0.027835 0.053771 0.016913
-0.021421 -0.009122 0.011533 -0.001275 0.026122 0.001409 -0.037513 0.024188 -0.02079
0.001432 0.029269 0.003317 0.003576 -0.017357 0.000703 0.015632 0.008735 0.045435
0.002043 -0.026243 0.007231 -0.000255 -0.050871 0.00703 0.017238 0.024375 -0.009139
-0.013252 -0.014731 -0.00759 -0.006874 0.004963 -0.037696 -0.011499 -0.047583 -0.005739
0.029132 0.018997 0.010335 0.027685 0.031111 0.006166 0.032653 0.015783 0.022263
0.001807 0.000345 0.003478 -0.000499 -0.016283 -0.002523 -0.027668 0.009067 -0.010083
-0.012826 0.016739 -0.001529 0.01697 0.003651 -0.012288 -0.029472 0.01027 0.018741
0.004872 -0.006117 0.003063 -0.005399 0.031045 -0.012075 -0.010471 -0.049238 -0.029994
0.004849 -0.015216 -0.01028 0.015051 0.002117 -0.015556 0.005503 -0.030738 0.015255
-0.004825 -0.029427 0.000206 0.003889 -0.019014 -0.014673 -0.022522 -0.036884 0.012792
0.008081 0.006708 0.005449 -0.01937 0.051687 -0.011073 0.02584 -0.018969 -0.014635
0.008216 0.009062 -0.00726 -0.004197 0.031854 -0.019305 -0.007557 -0.007661 0.019329
0.035579 0.019546 0.027709 0.034218 0.001323 0.052756 0.021785 0.042647 0.022156
0.007678 -0.006304 0.009121 -0.010789 0.041841 0.155572 -0.002484 0.008463 0.015427
0.014286 0.020596 0.006754 0.001212 0.010569 -0.033981 -0.000623 0.005594 0.013462
0.004695 0.013624 -0.003663 0.011861 0.029073 0.030151 0.02637 0.039638 0.012903
-0.010467 -0.008653 -0.016198 0.002871 -0.024593 0.001626 0.011936 -0.012375 -0.007306
-0.025123 -0.005169 -0.012828 0.006202 -0.028548 -0.03961 -0.021991 -0.024721 -0.006983
-0.002131 0.018739 -0.002865 0.018729 -0.000643 0.017241 0.008585 0.014236 0.015774
-0.025243 -0.01505 -0.002052 -0.010007 0.019747 -0.001329 -0.012971 -0.003766 -0.02189
-0.013147 -0.021477 0.001954 0.019511 -0.009682 0.005324 0.012936 -0.042955 -0.033282
-0.018369 -0.022729 -0.003489 -0.001845 -0.022954 -0.04568 -0.014393 -0.044883 -0.010882
-0.00473 -0.007545 -0.001545 0.000462 0.01675 0.016996 0.010901 0.015414 -0.014003
-0.00062 0.00975 0.01083 -0.001385 -0.013265 -0.002387 -0.00529 0.06405 -0.000609
0.007649 0.006644 0.021837 -0.001156 0.032849 0.011966 0.012477 -0.008351 0.015022
0.002052 0.029303 0.020471 0.001852 -0.002315 0.015203 -0.020202 0.043158 0.007
0 0.004531 0.008905 -0.001848 -0.050633 -0.044592 -0.034227 0.003027 -0.016683
-0.001843 -0.002128 -0.000388 0.002083 -0.012889 0.018809 -0.025833 0.044266 0.024238
-0.045949 -0.009808 -0.010188 -0.006468 0.008555 -0.024273 -0.031339 -0.015093 0.001775
-0.027091 0.010853 -0.006274 -0.008835 -0.016295 -0.025929 -0.000452 -0.011086 -0.001378
-0.039262 -0.000937 0.004242 -0.001877 0.015884 0.017986 -0.015618 -0.006594 0.008279
-0.027911 -0.006055 -0.003733 -0.00282 -0.010498 -0.014134 0.009427 -0.035513 -0.011739
-0.122101 -0.006779 0.003944 -0.0033 -0.023251 -0.039427 -0.007062 -0.049897 -0.019798
0.043127 -0.018575 0.022196 -0.013951 -0.003467 0.007463 0.030053 0.002535 -0.012321
0.033592 0.005898 -0.000192 -0.005755 -0.016929 -0.007778 -0.01314 -0.004697 0.002045
-0.0375 0.004988 0.024025 0.000965 0.004482 -0.026582 0.004739 -0.031942 0.01
-0.037922 -0.015239 0.006194 0.016145 -0.025364 0.035769 0.024259 0.030746 -0.005052
-0.007829 -0.004333 -0.011005 0.004802 -0.054458 -0.010397 0.033333 -0.008003 0.031275
