 BMY BA BK BAC BHI BAX BRB
0.010278 -0.012728 -0.008407 0.000787 -0.002488 0.001024 -0.005882
0.037362 0.019686 0.000892 0.001101 -0.013858 0.018613 0.023669
-0.019445 0.00803 -0.010254 -0.009745 -0.035413 0.004819 0.004335
0.009312 -0.003051 0.018694 0.007302 0.019085 -0.026179 -0.020144
-0.012472 0.00663 -0.002211 -0.001733 -0.006598 -0.011081 0.001468
0.003979 -0.01368 -0.002437 -0.008998 -0.012706 -0.00913 0.01173
0.02335 -0.015411 0.002888 0.004301 -0.017257 0.025131 -0.004348
-0.008155 -0.015478 0.003322 -0.003806 -0.04375 -0.007967 0.002911
0.009473 -0.004416 0 0.007801 0.014939 0.020181 0.013788
0.003895 0.008694 0.003311 -0.006319 0.023919 0.000404 -0.015032
-0.0097 -0.007036 -0.009901 0.0062 -0.007787 0.025222 0.010174
-0.000178 -0.00992 -0.001556 -0.011534 0.019016 0.020862 -0.005755
0.000356 -0.022902 -0.010238 -0.000959 0.051836 0.006555 0.007236
0.008013 0.012675 0.001124 0.01408 -0.009012 -0.003065 -0.000718
-0.02844 -0.020497 -0.01168 -0.010887 -0.012504 0.022094 -0.005032
0.038545 -0.012222 -0.004545 0.014037 -0.014101 -0.008459 0.011416
0.004552 -0.026247 0.004566 -0.000944 0.019556 -0.011943 -0.002715
0.008714 0.006931 -0.0025 0.01795 -0.004294 0.004029 0.002722
0.011576 -0.002486 -0.039645 0.005414 -0.025302 -0.00172 -0.001286
0.00854 0.027985 0.000712 -0.027077 -0.012684 0.013017 -0.001431
-0.003387 -0.010628 -0.004742 -0.007748 0.005378 0.001701 0.001433
-0.002549 -0.026574 -0.022392 -0.014183 -0.000594 -0.02358 0.000143
-0.01431 -0.018393 -0.021686 -0.02926 -0.007434 0.004637 -0.000286
-0.005185 -0.003945 -0.013201 0.002998 -0.023367 0.010577 -0.00558
-0.02467 0.013861 0.002019 0.021086 0.010429 -0.018078 -0.001439
0.021019 -0.024414 -0.007557 0.006667 0.03218 0.011434 0
0.042045 0.013213 -0.030203 -0.000969 -0.001176 0.020502 0
-0.038674 -0.034973 -0.033761 -0.024637 0.01649 -0.001127 0.008646
-0.021595 -0.074939 -0.024919 -0.019906 -0.016512 -0.013158 -0.018571
0.034532 -0.03807 0.028333 -0.016044 0.017673 0.015619 -0.010189
0.003097 -0.176254 -0.092923 -0.057242 -0.018813 0.001688 -0.058824
-0.031046 -0.074302 -0.032162 0.013247 -0.050443 -0.007676 0
-0.008674 -0.015993 -0.023077 -0.001271 -0.100652 -0.008868 -0.040625
-0.02875 -0.087397 -0.031496 -0.024909 -0.021071 -0.011993 0.019544
-0.062328 0.011425 -0.004228 -0.04904 0.014467 -0.021965 -0.001597
-0.009804 0.089701 0.100588 0.046078 -0.037565 -0.006501 0.024
0.032079 0.046646 -0.032641 0.032802 -0.031081 0.019433 0.015625
0.021681 -0.001165 0.007976 -0.000907 -0.019396 0.02801 0.043077
0.047887 0.003208 0.013999 0.033243 0.036516 0.041627 0.028761
-0.004301 -0.026163 0.05042 0.026723 0.062385 0 0.003584
0.027898 -0.032836 -0.030571 0.009418 -0.01209 0.008174 0
0.015584 0.057099 0.009136 0.008991 0.006993 -0.036036 0
-0.01681 0.068321 0.029206 0.008574 0.008333 -0.027103 0.038571
-0.011454 -0.005739 -0.01731 -0.018336 0.071625 0.008646 -0.011692
0.024955 -0.003299 -0.029454 -0.046867 -0.010283 0.013333 0.007655
-0.000522 0.009928 -0.031538 -0.033494 0.002273 0.005075 0.001381
0.000522 -0.016931 0.015975 -0.03871 0.006803 -0.002057 0.013793
0.02713 -0.006667 0.027215 0.050815 0.064994 0.001687 0.019728
-0.014054 0.011745 0.046217 -0.00365 -0.012689 -0.025631 -0.001334
0.008071 -0.007739 -0.003377 -0.029121 -0.007344 0.009985 -0.012692
0.001022 -0.017549 -0.014116 0.047916 -0.040999 -0.015019 0.012179
-0.004425 -0.004253 0.002291 0.038884 0.021858 -0.005018 -0.002674
0.010427 -0.040433 -0.004286 -0.01057 0.036804 -0.002328 0.00134
-0.005921 -0.024926 -0.022209 -0.001751 -0.050667 -0.036943 0.002677
-0.00902 0.017955 -0.00944 0.000526 0.019175 0.034726 -0.008011
0.025245 0.007474 0.049732 0.024198 0.029163 0.015805 0
-0.028141 0.005638 -0.005674 0.00856 0.017977 -0.002113 -0.009421
-0.018614 0.010328 0.015407 0.017654 -0.010177 -0.030606 0
-0.007376 0.048481 0.013487 0.014012 0.058966 -0.010723 -0.005435
-0.009908 0.049582 -0.002495 -0.002303 0.049686 0.003212 -0.009563
-0.018942 -0.104299 -0.032796 -0.018961 0.025571 -0.014606 -0.002759
-0.022587 -0.021333 -0.008333 -0.008403 -0.029443 -0.017665 -0.031812
-0.003914 -0.013018 -0.014489 -0.000169 -0.020771 -0.000207 0.017143
0.015154 0.018098 -0.000294 0.016274 0.021909 0.016126 0.014045
-0.022484 0.03495 -0.001176 0.015346 -0.047123 -0.003052 -0.001385
0.004336 0.020378 0.037691 0.002629 -0.023002 -0.05449 -0.011096
0.046743 0.013409 0.040011 0.017696 0.000883 -0.008202 0.0223
-0.026901 -0.017737 0.019372 0.010304 0.025875 0.042002 -0.020442
0.003502 0.000287 0.007762 0.005578 0.03554 -0.003551 -0.007003
0.009183 -0.047564 0.002125 -0.000792 0.030722 -0.004821 -0.018336
-0.006551 -0.005415 -0.011927 -0.000476 -0.001343 0.018323 -0.018678
-0.002198 0.016636 0.03514 0.006982 0.005109 0.012203 -0.004392
0.003855 0.019637 -0.010625 0.00063 -0.06367 -0.019207 0
0.004023 0.004106 0.002095 -0.004094 -0.124286 0.009583 -0.013235
0.013843 0.021904 -0.010455 -0.011069 0.02447 0.014651 -0.00149
0.012936 0.003144 0.055732 0.022546 -0.012739 -0.004474 -0.003731
-0.007627 -0.003704 0.000751 -0.00688 0.087097 0.011849 0.011236
-0.002681 -0.007721 -0.008 0.001102 -0.038576 -0.003634 0
-0.000896 0.026801 0.018649 0.022177 0.00679 -0.007092 0.007407
-0.007175 0.007297 -0.000247 -0.000923 -0.002759 0.01102 -0.014706
-0.02439 -0.010867 0.006682 -0.022332 0.015063 -0.000404 0.008955
0 -0.037465 -0.047689 -0.027883 -0.020291 0.012924 0.011834
0 0.02868 0.015488 0.030627 0.019784 0.033692 0.02193
-0.004444 -0.001423 -0.002542 -0.034906 -0.000606 0.002893 0.001431
0.003906 -0.002849 -0.026504 0.000815 0.032757 -0.01 0
-0.005003 0.010857 0.038743 0.014814 0.037885 -0.001942 0.005714
-0.01825 0.014415 0.02747 0.005775 0.039898 -0.02102 -0.005682
0.020486 0.033993 0.02183 0.014493 -0.042993 -0.013917 0.002857
0.000372 0.00512 -0.00072 0.002857 -0.022747 0.027621 -0.014245
0.007061 -0.010724 -0.021139 -0.023109 -0.021239 0.00255 -0.017341
-0.008303 0.004607 -0.000245 0.011828 -0.002081 0.00548 0.008824
-0.061395 -0.007284 -0.0027 0.006886 -0.002383 -0.00035 0.007289
-0.028741 0.005435 -0.016983 -0.01972 0.005972 -0.010634 -0.01013
0.020408 0.014865 -0.017276 -0.003569 0.030573 0.024084 0.022661
0.003 -0.013049 0 0.029795 -0.018433 0.005831 0.002144
0.020738 0.005127 0.012739 -0.002688 -0.00088 -0.005217 -0.00428
0.010158 0.00698 0.026667 0.006817 0.046109 0.006216 0.007163
0.01257 0.016796 -0.00196 -0.006456 -0.008422 0.009653 0.009957
0.010313 0.01311 0.006629 -0.023772 0.000566 0.020076 -0.001408
-0.015501 -0.005694 -0.005854 0.003247 0.016978 -0.000375 -0.00141
0.014209 0.004685 -0.003925 0.009062 0.035337 0.006 0.008475
0.000568 0.002332 0.005172 0.009461 -0.007256 -0.00261 0.019608
-0.019868 0.010597 0.003185 0.009214 0 0.001682 0.01511
-0.015444 -0.008184 -0.00342 -0.00913 -0.012723 0.00056 0.023004
0.002549 -0.017535 0.004657 0.000159 -0.024952 -0.009883 -0.017196
0.00295 0.01706 0.022201 -0.001112 -0.02081 -0.010169 -0.002692
0.005882 0.041548 0.016945 0.015583 0.010913 0.005517 -0.005398
-0.023977 0.015857 0.031448 -0.011899 -0.002557 -0.007379 -0.001357
-0.013381 -0.016341 -0.014107 -0.016004 -0.019653 -0.00915 -0.024457
0.005466 -0.010662 0.003 -0.002415 -0.013364 -0.010581 0.01532
-0.003624 -0.001504 0.043488 0.000807 -0.012073 0.004666 -0.015089
0.001212 -0.028865 -0.009923 -0.017742 -0.039344 0.022063 0.026462
-0.005045 -0.011372 -0.019822 -0.002956 -0.03506 0.005113 0.002714
-0.004868 0.028758 -0.005908 0.012022 0.040193 -0.00113 0.005413
-0.006523 -0.033799 -0.007543 -0.010578 -0.034003 -0.005092 0.002692
-0.001026 0.008154 -0.010872 0.005263 -0.00864 0.009858 0.005369
-0.015404 0.021393 0.002105 -0.005236 0.021304 0.001877 -0.001335
0.018982 0.016092 -0.001867 0.030757 -0.010746 0.008244 -0.005348
0.01085 -0.011312 -0.000701 0.003032 0.053355 0.02323 -0.009409
-0.051235 0.017035 0.006083 0.018136 0.016075 -0.042862 0.001357
-0.012807 0.012 -0.009767 -0.010156 0.033433 -0.003416 0.00271
-0.009513 0.010376 -0.001644 0.004578 -0.036973 0.005331 0.006757
-0.015062 -0.016381 -0.058574 -0.069767 -0.025195 -0.011364 -0.009396
-0.004211 -0.005717 0.005247 0.041554 0.046769 0.029693 -0.001355
0.009793 0.02375 0.018643 0.022219 0.034685 0.038698 0.002714
-0.019176 0.012454 -0.009273 -0.026495 -0.006534 -0.005911 -0.006766
-0.022697 -0.008683 -0.046552 -0.031943 -0.011724 -0.017117 -0.00545
0.004829 -0.004866 -0.026091 -0.008418 -0.004919 0.020532 -0.005479
-0.020595 0.006112 -0.020159 -0.000849 -0.003199 -0.004311 -0.006887
0.007009 0.001952 0.012994 0.001699 -0.027859 -0.014252 0.004161
0.027842 0.015587 0.018974 0.02799 -0.001807 0.001281 0.015193
0.019639 0.031175 0.013638 0.010726 0.040724 0.01444 0
0.004649 0.003488 -0.001552 -0.003102 -0.015072 0.005405 0
0.017408 0.040556 0.010365 0.01736 0 0.003584 0.004082
-0.013862 -0.002895 0.002821 -0.000966 0.003826 0.003214 -0.00271
-0.003953 0.002904 -0.01023 -0.020303 0.008795 0.00712 -0.005435
-0.006174 -0.026503 -0.053747 -0.020559 -0.013368 -0.021739 -0.005464
0.016641 -0.009151 0.019661 0.027372 0.001473 0.009756 0.002747
-0.01113 0.02078 -0.007766 -0.001144 0.027941 -0.016819 -0.005479
0.015228 0.012441 0.002159 0.003436 0.005722 0.009645 0.011019
-0.010217 0.004021 0.023431 0.031474 0.024182 -0.011175 -0.002725
-0.000439 0.004673 0.002368 0.006166 -0.005556 -0.006562 0.008197
0.043507 0.016611 0.008926 0.008171 -0.018994 0.022018 -0.01084
-0.010318 0.001307 -0.020557 0.006136 0.00541 -0.00395 0
0.021277 0.040905 0.024973 0.013292 0.022373 -0.001983 0.00274
-0.004167 0.026965 0.046138 0.024691 0.040443 0.011378 -0.006831
0.01318 -0.018726 0.003964 -0.020331 -0.001331 -0.014821 -0.009629
0.036961 0.034225 0.022952 0.025365 0.026393 0.007069 -0.016667
-0.005775 -0.027678 -0.007238 0.004198 -0.019221 0.0027 -0.014124
-0.038654 0.018977 -0.001458 0.01269 -0.002648 -0.012745 0.028653
0.0125 0.02996 0.027014 -0.001179 0.01248 -0.004545 -0.002786
0.015432 -0.011792 -0.008294 0.00369 0.03252 0.006758 -0.001397
-0.004053 -0.021082 0.003345 -0.006618 -0.037338 0.006168 -0.001399
0.013225 -0.03271 0.000238 -0.008142 -0.010554 0.007032 0.008403
0.022289 0.007771 0.033571 0.032537 0.019467 0.034915 0.013889
-0.035946 -0.007295 -0.000691 -0.005348 0.023019 -0.007439 0.005479
-0.008761 0.008608 0.010143 0.000727 0.007926 -0.005229 0
-0.155601 -0.021024 -0.026244 -0.014813 -0.016996 -0.005257 -0.00545
-0.011685 0.013608 -0.007734 0.002359 0.014194 0.019905 -0.012329
-0.012315 -0.026851 0.001417 0.009559 -0.064885 -0.001727 -0.005548
-0.004738 -0.014443 -0.011085 -0.007283 0.013333 0.008132 -0.002789
-0.010273 0.001531 0.012879 0.014233 0.006982 0.012528 0.001399
0.004304 0.033632 0.018837 -0.00463 0.018667 0.010169 -0.001397
0.020671 0.019438 -0.028888 -0.011337 0.001309 -0.001342 -0.005594
-0.002223 -0.006839 -0.017135 0.001911 -0.026928 -0.012265 -0.006329
-0.053465 0.024416 -0.007264 0.008804 -0.004567 -0.015139 0.026185
-0.006799 -0.007333 -0.036585 -0.007127 -0.02996 -0.01658 -0.009655
-0.147215 0.007182 -0.007595 0.006446 -0.009182 0.016157 -0.009749
0.013064 -0.016096 -0.004337 0.003202 -0.021342 -0.003629 0
-0.014123 0.014703 0.001793 0.008125 0.001435 0.016305 -0.008439
-0.017129 -0.008776 -0.006394 0.003166 -0.008023 0.006998 0.01844
-0.00602 0.020795 -0.013127 0.003443 0.028596 0.008136 -0.005571
-0.025821 -0.015329 -0.04434 -0.019159 -0.007301 -0.026564 -0.007003
0.019306 -0.005531 0.035753 0.021137 -0.045262 -0.011226 0.00141
0.018941 -0.018538 -0.013702 -0.012134 0.030518 -0.001921 -0.004225
0.007561 0.022036 0.027785 0.021965 0.041691 0.00665 0.004243
0 -0.068378 -0.0013 0.001131 0.016561 -0.017733 0.002817
0.02314 -0.036808 -0.015171 -0.002542 0.009232 0.025664 0.001404
-0.007641 -0.021739 -0.00425 0.01416 -0.005112 0.010354 -0.004208
-0.02279 0.009123 -0.006935 -0.007819 0.000541 -0.021349 -0.004225
-0.023322 -0.014835 -0.005641 0.013228 0.005405 -0.011867 0.015559
0.000323 -0.002353 -0.015667 -0.006944 -0.001344 -0.004592 -0.004178
-0.035806 -0.011792 0.01674 -0.009231 0.014536 -0.003726 -0.008392
-0.01907 -0.009308 -0.005938 0.013269 0.014858 0.008727 -0.015515
-0.01296 0.051072 -0.018735 -0.007105 -0.007059 -0.022775 0.024355
-0.004838 0.022232 0.012452 0.016978 -0.007899 0.028004 0.027273
0.030556 0.020179 -0.004373 -0.003311 0.019108 0.00703 0.014295
-0.009434 -0.013846 0.015646 0.018134 0.014453 -0.005236 -0.006711
0.001361 -0.005349 -0.021081 0.001767 -0.009784 -0.001404 0.004054
-0.02038 -0.028008 -0.03534 -0.016422 -0.040302 -0.009136 -0.006729
-0.028779 -0.005533 0.001717 0.006761 -0.013005 -0.014184 0.014905
0.017494 0.029439 0.039714 0.014254 0.045841 -0.001619 0.004005
-0.007018 0.012835 -0.018412 0.005676 -0.031759 -0.009548 0.009309
-0.007067 -0.030013 -0.024636 -0.007659 0.006506 -0.006002 -0.002635
0.009609 0.014898 0.01062 0.015572 0.009426 0.004758 0.023778
0.064505 0.0271 0.010508 0.011733 0 0.001093 0.006452
-0.005629 -0.016711 0.03991 0.000527 -0.040555 -0.029653 0.003846
0.000333 0.010101 0.011622 0.00382 0.025028 -0.009749 -0.002554
0.014314 0.009333 0.004275 0.009054 -0.033098 0.012874 0.002561
0.006236 -0.006385 -0.010375 -0.014304 -0.001122 -0.01028 -0.00894
-0.018591 -0.017283 -0.004301 -0.010686 -0.013202 0.001322 0.003866
0.026255 0.001353 -0.008099 0.005867 0.030174 -0.020936 -0.025674
0.001295 -0.005854 0.004355 0.016174 0.017961 0.019457 0.002635
-0.016818 -0.01812 -0.011111 -0.006654 -0.007872 -0.002645 0.007884
-0.004276 -0.008074 -0.01151 -0.005647 -0.00383 -0.009284 0.002608
-0.007929 0 0.002772 0.007397 0.004394 0.024096 -0.019506
-0.005994 0.015349 -0.000553 -0.004589 -0.007383 -0.001307 -0.005305
0.042546 -0.023133 0.004149 -0.001449 0.009642 0.004114 -0.005333
-0.041452 -0.018523 -0.023416 -0.01794 -0.037108 -0.01676 -0.008043
-0.039558 -0.000239 -0.022567 -0.000672 0.005951 -0.010038 0.008108
-0.019895 0.016488 0.010101 -0.00793 -0.012676 -0.003635 -0.008043
-0.066952 -0.013634 -0.031429 -0.047261 -0.007703 -0.028994 0.009459
0.033588 0.019066 -0.00059 0.017491 0.027315 -0.003362 -0.004016
-0.006647 0.003742 0.003837 0.002254 -0.02211 0.019841 -0.012097
-0.033457 -0.009786 -0.022346 -0.005905 -0.041786 -0.050195 -0.016327
-0.021538 0.031294 0.012632 0.006223 0.02718 -0.045473 0.009682
0.056604 -0.030345 -0.018414 -0.021785 0.024426 -0.01309 0.009589
-0.002976 0.000706 0.015129 0.021552 0.002839 0.01022 -0.009498
-0.024254 0.034564 0.052757 0.031786 0.030003 0.026044 0.013562
0.015296 -0.005 -0.000566 0.008724 -0.014015 0.020558 -0.002568
-0.010546 -0.014847 -0.01898 -0.003378 -0.024526 -0.001028 -0.01897
