GD GE F FDX GILD FCX GS GOOG 
-0.018621 0.039574 -0.029323 -0.018417 0.064280 -0.001429 0.015536 0
0.038086 0.031165 0.013889 0.006335 0.062436 0.025036 -0.003555 0
0.013245 0.013185 0.014041 0.028571 0.093308 -0.005583 0.004865 0
0.007582 -0.028428 0.005741 -0.009652 0.074594 -0.006316 -0.019798 0
0.008044 0.007830 -0.040027 -0.005705 0.022662 0.019774 0.017014 0
0.015959 0.003885 0.033569 0.021994 -0.013376 -0.002770 0.057744 0
-0.003547 -0.012220 -0.018803 -0.032749 -0.032578 -0.027778 -0.020408 0
-0.001780 0.029485 0.013240 -0.001693 0.057101 0.000000 0.012500 0
-0.006622 0.000601 -0.021664 -0.024225 0.012070 -0.007143 -0.012243 0
0.003846 -0.009608 -0.010193 -0.045432 -0.020919 0.005036 -0.007916 0
-0.001916 -0.001010 -0.002841 0.016645 -0.009585 0.011453 -0.006194 0
-0.003199 0.008092 0.012108 0.002814 -0.021976 0.026185 -0.001585 0
0.004493 -0.016456 -0.021112 -0.020153 0.004947 -0.008276 -0.017564 0
0.005367 0.014691 -0.000719 -0.005467 -0.015180 0.008345 0.013463 0
0.010169 0.008446 0.005755 0.001309 -0.031035 0.000000 0.007970 0
0.006921 0.041077 0.004650 0.026405 0.134136 0.062759 0.053769 0
0.023244 -0.001915 -0.018868 0.025217 0.098180 0.015574 -0.020010 0
0.001099 0.016887 -0.015602 0.006460 -0.068864 0.035144 -0.007146 0
0.011224 0.007737 -0.017693 0.002469 0.109731 0.048148 0.047815 0
0.009169 -0.013483 -0.025141 -0.002216 -0.033406 -0.030624 0.013641 0
-0.043515 -0.025247 -0.007313 -0.012586 -0.084154 -0.029162 -0.038629 0
-0.035371 0.000974 -0.005429 0.008748 0.025472 0.005006 0.005539 0
0.003887 -0.028210 -0.035478 -0.015857 0.001840 0.006849 -0.018928 0
-0.012648 -0.005606 0.010105 -0.002014 -0.031405 -0.011750 -0.011025 0
0.034902 -0.013086 -0.015606 0.004036 -0.036215 -0.018773 -0.021883 0
-0.020841 -0.000408 -0.010163 0.005025 0.018100 -0.000638 0.003588 0
0.013416 0.000000 0.009856 0.021250 0.075942 0.019783 0.016824 0
-0.001273 0.009184 0.000000 -0.019094 0.036279 0.019399 -0.001965 0
0.021157 -0.005460 -0.015047 -0.004492 -0.006932 0.006139 0.008704 0
-0.025212 -0.008743 0.000000 -0.008523 -0.048866 -0.046370 -0.018593 0
-0.003969 0.003282 -0.003303 0.003793 -0.013211 -0.015355 0.014235 0
-0.007199 -0.015743 -0.005799 -0.002519 -0.034027 0.036387 -0.015893 0
-0.010359 -0.015372 0.034583 -0.020202 -0.044658 -0.040125 -0.035130 0
0.004841 0.028903 -0.006847 -0.017783 0.010478 -0.009144 -0.001630 0
-0.011979 -0.018864 -0.003244 -0.015482 0.004786 -0.012525 -0.029393 0
-0.023194 0.021108 -0.004068 -0.002132 -0.026394 -0.020027 -0.024114 0
0.003103 -0.001023 -0.015931 0.013889 0.051366 0.021798 0.026204 0
0.005111 0.003893 0.037775 -0.010801 -0.006398 -0.002000 -0.007168 0
0.010036 -0.002653 -0.010400 -0.013582 0.013854 -0.020708 -0.005302 0
0.009009 0.038879 -0.003638 -0.001080 0.105466 -0.045020 0.002495 0
-0.006565 0.009454 0.050710 0.044595 0.002786 -0.021429 0.052036 0
-0.026698 0.011902 -0.027413 -0.030272 0.061285 -0.043066 -0.009677 0
