date  hour minute second price size
20100104 9 31 4 57.54 100
20100104 9 31 4 57.54 300
20100104 9 31 4 57.53 100
20100104 9 31 4 57.55 700
20100104 9 31 4 57.55 100
20100104 9 31 4 57.55 100
20100104 9 31 4 57.55 200
20100104 9 31 4 57.55 100
20100104 9 31 4 57.55 100
20100104 9 31 4 57.55 100
20100104 9 31 5 57.59 100
20100104 9 31 5 57.59 100
20100104 9 31 5 57.57 100
20100104 9 31 5 57.6 200
20100104 9 31 5 57.6 300
20100104 9 31 5 57.61 1100
20100104 9 31 5 57.62 100
20100104 9 31 5 57.64 200
20100104 9 31 5 57.63 100
20100104 9 31 5 57.65 382
20100104 9 31 6 57.57 100
20100104 9 31 6 57.57 100
20100104 9 31 6 57.57 100
20100104 9 31 7 57.59 200
20100104 9 31 8 57.6 300
20100104 9 31 9 57.61 100
20100104 9 31 9 57.61 100
20100104 9 31 10 57.64 100
20100104 9 31 10 57.6 300
20100104 9 31 10 57.6 100
20100104 9 31 10 57.6 100
20100104 9 31 10 57.6 100
20100104 9 31 10 57.6 100
20100104 9 31 10 57.6 100
20100104 9 31 10 57.6 100
20100104 9 31 10 57.6 100
20100104 9 31 10 57.6 200
20100104 9 31 10 57.6 100
20100104 9 31 10 57.6 100
20100104 9 31 10 57.6 100
20100104 9 31 10 57.6 100
20100104 9 31 10 57.62 100
20100104 9 31 10 57.62 100
20100104 9 31 10 57.61 100
20100104 9 31 10 57.61 100
20100104 9 31 10 57.61 300
20100104 9 31 10 57.63 100
20100104 9 31 10 57.61 100
20100104 9 31 10 57.61 100
20100104 9 31 10 57.61 100
20100104 9 31 10 57.6 100
20100104 9 31 10 57.63 100
20100104 9 31 10 57.62 400
20100104 9 31 10 57.62 100
20100104 9 31 10 57.63 100
20100104 9 31 10 57.61 100
20100104 9 31 12 57.6399 100
20100104 9 31 13 57.6 100
20100104 9 31 13 57.58 100
20100104 9 31 13 57.58 100
20100104 9 31 14 57.57 100
20100104 9 31 14 57.58 200
20100104 9 31 14 57.57 100
20100104 9 31 15 57.5805 1000
20100104 9 31 15 57.57 100
20100104 9 31 15 57.57 100
20100104 9 31 15 57.57 100
20100104 9 31 15 57.57 100
20100104 9 31 15 57.57 100
20100104 9 31 15 57.57 100
20100104 9 31 15 57.57 100
20100104 9 31 15 57.57 100
20100104 9 31 15 57.62 100
20100104 9 31 15 57.63 100
20100104 9 31 15 57.595 100
20100104 9 31 15 57.595 100
20100104 9 31 15 57.63 100
20100104 9 31 15 57.64 100
20100104 9 31 15 57.64 100
20100104 9 31 15 57.64 100
20100104 9 31 15 57.64 100
20100104 9 31 15 57.64 100
20100104 9 31 15 57.61 100
20100104 9 31 15 57.65 900
20100104 9 31 16 57.66 100
20100104 9 31 17 57.59 600
20100104 9 31 17 57.59 100
20100104 9 31 17 57.59 100
20100104 9 31 17 57.625 100
20100104 9 31 17 57.625 100
20100104 9 31 17 57.6593 300
20100104 9 31 17 57.66 200
20100104 9 31 17 57.66 100
20100104 9 31 17 57.66 200
20100104 9 31 17 57.6593 400
20100104 9 31 17 57.66 400
20100104 9 31 17 57.66 200
20100104 9 31 17 57.66 400
20100104 9 31 21 57.66 200
20100104 9 31 21 57.68 100
20100104 9 31 21 57.66 100
20100104 9 31 21 57.69 400
20100104 9 31 21 57.69 800
20100104 9 31 22 57.69 100
20100104 9 31 23 57.69 700
20100104 9 31 23 57.62 100
20100104 9 31 23 57.62 100
20100104 9 31 23 57.62 100
20100104 9 31 23 57.62 100
20100104 9 31 23 57.62 100
20100104 9 31 23 57.62 200
20100104 9 31 23 57.62 100
20100104 9 31 23 57.62 100
20100104 9 31 23 57.69 200
20100104 9 31 27 57.682 100
20100104 9 31 27 57.6825 100
20100104 9 31 27 57.69 100
20100104 9 31 27 57.69 100
20100104 9 31 27 57.675 100
20100104 9 31 27 57.7 600
20100104 9 31 27 57.675 100
20100104 9 31 27 57.7 200
20100104 9 31 27 57.7 100
20100104 9 31 27 57.7 100
20100104 9 31 27 57.7 100
20100104 9 31 27 57.68 200
20100104 9 31 27 57.7 100
20100104 9 31 30 57.7 500
20100104 9 31 30 57.69 100
20100104 9 31 31 57.69 100
20100104 9 31 31 57.69 100
20100104 9 31 31 57.69 100
20100104 9 31 31 57.69 400
20100104 9 31 31 57.69 100
20100104 9 31 31 57.68 100
20100104 9 31 31 57.68 100
20100104 9 31 32 57.68 100
20100104 9 31 32 57.68 100
20100104 9 31 32 57.68 100
20100104 9 31 32 57.68 100
20100104 9 31 32 57.68 300
20100104 9 31 32 57.68 100
20100104 9 31 32 57.68 100
20100104 9 31 32 57.7 900
20100104 9 31 32 57.7 100
20100104 9 31 33 57.68 100
20100104 9 31 33 57.7 200
20100104 9 31 35 57.68 100
20100104 9 31 35 57.69 100
20100104 9 31 35 57.68 100
20100104 9 31 35 57.69 200
20100104 9 31 35 57.69 100
20100104 9 31 35 57.69 100
20100104 9 31 35 57.69 100
20100104 9 31 35 57.69 100
20100104 9 31 35 57.69 100
20100104 9 31 35 57.7 100
20100104 9 31 35 57.7 100
20100104 9 31 35 57.7 100
20100104 9 31 35 57.7 100
20100104 9 31 35 57.7 100
20100104 9 31 35 57.69 200
20100104 9 31 35 57.7 100
20100104 9 31 35 57.7 100
20100104 9 31 35 57.7 100
20100104 9 31 35 57.7 100
20100104 9 31 37 57.74 100
20100104 9 31 37 57.71 100
20100104 9 31 37 57.71 100
20100104 9 31 37 57.71 100
20100104 9 31 37 57.71 100
20100104 9 31 37 57.69 100
20100104 9 31 38 57.73 100
20100104 9 31 38 57.71 100
20100104 9 31 38 57.71 100
20100104 9 31 38 57.71 100
20100104 9 31 38 57.71 100
20100104 9 31 38 57.71 100
20100104 9 31 38 57.72 100
20100104 9 31 38 57.72 100
20100104 9 31 38 57.75 100
20100104 9 31 38 57.75 300
20100104 9 31 38 57.77 300
20100104 9 31 38 57.71 100
20100104 9 31 41 57.67 100
20100104 9 31 42 57.7101 180
20100104 9 31 43 57.77 100
20100104 9 31 43 57.72 100
20100104 9 31 43 57.72 100
20100104 9 31 43 57.72 100
20100104 9 31 43 57.72 100
20100104 9 31 44 57.75 100
20100104 9 31 44 57.76 100
20100104 9 31 44 57.76 100
20100104 9 31 44 57.72 100
20100104 9 31 44 57.72 200
20100104 9 31 44 57.66 100
20100104 9 31 44 57.66 100
20100104 9 31 44 57.65 100
20100104 9 31 44 57.65 100
20100104 9 31 44 57.65 100
20100104 9 31 44 57.66 500
20100104 9 31 44 57.72 100
20100104 9 31 44 57.66 200
