XOM UTX WAG XRX WMB WFC WY WMT VZ USB UPS UNH
-0.005492 0.010842 -0.029857 -0.084279 -0.003472 0.034519 -0.014058 0.010143 0.036241 0.009259 0.000697 -0.012739
-0.007923 -0.053628 -0.015621 0.035398 -0.029036 -0.058443 -0.031559 -0.032787 -0.04636 -0.050459 -0.009582 -0.013582
0.003751 0.01 -0.004974 -0.068376 0.034689 0.046392 -0.017472 0.013771 0.02452 0.035266 -0.003518 -0.00327
-0.015069 -0.05703 -0.011188 -0.077064 -0.024509 -0.017036 -0.003397 -0.019227 -0.014984 -0.022398 -0.015887 -0.03609
-0.005385 0.02268 0.001685 0.075547 0.005926 0.002923 0.01243 0.009589 0.032749 0.050119 0.004664 0.016661
-0.007384 -0.016701 -0.01466 0.072089 0.024505 -0.024568 0.031683 0.010553 -0.037643 -0.046818 -0.008748 0
-0.010538 -0.029375 -0.012195 0.013793 -0.046918 -0.030523 -0.034165 0.010443 -0.01977 -0.048641 0.039265 -0.043172
-0.026438 -0.033993 -0.021481 -0.04932 -0.078185 -0.031264 -0.026232 -0.02898 -0.002386 -0.035088 -0.031369 -0.029466
-0.010296 -0.005197 0.029018 0.062612 0.05733 0.0325 0.006531 0.014069 0.020652 0.077403 -0.011451 0.034156
0.017555 0.071045 -0.029917 -0.050505 0.016341 0.016949 0.020681 0.042674 0.022364 0.045805 0.01629 0.029358
0.030543 0.037625 0.017442 0.014184 0.047503 0.051732 0.037545 0.013911 0.043958 0.078377 0.005165 0.004278
-0.024678 -0.016922 -0.000497 0.092657 -0.026744 0.001441 -0.008233 -0.012527 -0.058272 -0.006092 -0.00248 -0.00426
-0.004577 0.018443 0.00174 -0.0688 -0.020311 -0.012947 -0.025097 0.019331 0.021403 -0.022983 -0.002842 0.03066
0.034615 -0.016767 0.012407 0.02921 0.045122 0.029981 0.005743 -0.002371 0.022822 0.029738 0.013538 0.025437
-0.017284 0.001364 -0.002941 0.001669 0.016336 0.004447 -0.025989 0.002772 -0.013185 0.00819 -0.023199 -0.012825
-0.021357 -0.035014 -0.016716 -0.175 -0.078071 -0.014892 -0.009501 -0.028634 -0.021583 -0.019666 -0.042641 -0.004615
0.01027 0.008047 -0.001 0.070707 0.00274 -0.06047 0.008571 0.013824 0.027311 -0.00785 -0.004698 0.027992
0.028335 0.052521 0.003503 -0.007547 0.039742 0.03566 0.010927 0.013435 0.01227 0.021978 0.006798 0.002339
0.014457 -0.01823 -0.003741 -0.011407 -0.025561 -0.028973 -0.039231 0.01385 0.006768 -0.009032 0.016129 -0.017667
0.004994 0.015451 -0.020776 0.013462 0.005148 -0.00627 0.029792 -0.018345 0.016178 0.004774 -0.009782 0.014252
0.018058 -0.004271 0.025307 0.032258 0.046342 0.02785 0.061299 0.010736 0.015721 0.008207 0.017894 -0.010539
-0.024524 -0.023458 -0.017452 0.033088 -0.000233 -0.007197 -0.000191 -0.011998 -0.01156 -0.014996 -0.002747 -0.022485
0.000732 0.034729 0.014971 0.033808 -0.00443 0.01855 -0.015253 -0.010551 0.032309 0.021749 -0.004591 0.01055
0.031098 -0.001194 0.00125 -0.003442 0.014988 -0.012979 0.026137 -0.013079 -0.001536 -0.004683 -0.009408 -0.003423
0.001892 0.004117 0.015231 0.060449 0.000231 -0.030753 -0.026415 0.003874 0.017308 -0.043199 0.003538 0.01391
0.004958 0.033069 -0.005165 0.042345 -0.012687 0.041575 0.043798 0.070877 0.006805 0.005811 0.010392 0.027778
-0.007988 -0.010243 0.014833 0.390625 -0.024533 0.007773 -0.010397 -0.004362 0.004506 -0.013333 0.048118 -0.004614
0.008526 -0.007374 -0.002192 -0.033708 -0.014371 -0.000834 -0.020638 -0.015048 -0.008224 -0.027027 0.020326 -0.003146
0.033228 -0.000912 0.004639 -0.116279 0.023086 -0.007928 0.005939 0.006382 -0.002827 -0.015741 -0.034003 -0.007806
-0.005795 -0.002087 -0.001215 0.064474 0.028726 0.007361 -0.002285 -0.037279 -0.00189 0.011289 0.003378 0.017074
0.018288 -0.000654 0.004136 0.011125 0.011292 -0.017745 -0.005345 0.011377 0.044878 -0.005116 0.008505 0.036866
